date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:49	285020/285020	---MCZ	200	added ('OK')	image/jpeg	etag:%225ff7df91-4595c%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/d4.jpg	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/d4.jpg	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:50	183603/183603	---MCZ	200	added ('OK')	image/jpeg	etag:%225ff6cfcc-2cd33%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/m4.jpg	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/m4.jpg	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:50	354107/354107	---MCZ	200	added ('OK')	image/jpeg	etag:%225ff7dfa0-5673b%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/d5.jpg	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/d5.jpg	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:50	227701/227701	---MCZ	200	added ('OK')	image/jpeg	etag:%225ff6cfeb-37975%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/m5.jpg	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/m5.jpg	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:50	63596/63596	---MCZ	200	added ('OK')	image/png	etag:%226007a24b-f86c%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/title-bsi.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/title-bsi.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:51	130353/130353	---MCZ	200	added ('OK')	image/png	etag:%226013db15-1fd31%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/title-bsi-mb.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/title-bsi-mb.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:51	64720/64720	---MCZ	200	added ('OK')	image/png	etag:%22600534bb-fcd0%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_1.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_1.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:51	67254/67254	---MCZ	200	added ('OK')	image/png	etag:%2260053504-106b6%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_2.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_2.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:52	69776/69776	---MCZ	200	added ('OK')	image/png	etag:%226005353b-11090%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_3.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_3.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:52	58802/58802	---MCZ	200	added ('OK')	image/png	etag:%226005354e-e5b2%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_4.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_4.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:53	73160/73160	---MCZ	200	added ('OK')	image/png	etag:%2260053565-11dc8%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_5.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_5.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:53	60928/60928	---MCZ	200	added ('OK')	image/png	etag:%2260053577-ee00%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_6.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_6.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:53	63720/63720	---MCZ	200	added ('OK')	image/png	etag:%2260054790-f8e8%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_7.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_7.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:54	66063/66063	---MCZ	200	added ('OK')	image/png	etag:%22600535ab-1020f%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_8.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_8.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:54	59943/59943	---MCZ	200	added ('OK')	image/png	etag:%22600535ea-ea27%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_9.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_9.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:54	63714/63714	---MCZ	200	added ('OK')	image/png	etag:%22600535fd-f8e2%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_10.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_10.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
13:51:55	32444/32444	---MCZ	200	added ('OK')	image/png	etag:%226007cd42-7ebc%22	https://thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_1a.png	D:/demo/thammythucuc.vn/landing/nang-nguc-nano-chip/assets/images/img/bsi_1a.png	(from https://thammythucuc.vn/landing/nang-nguc-nano-chip/?utm_source=bannerweb&utm_medium=cpc)
